RECORD TYPE,PURCHASE ORDER NUMBER,ITEM NUMBER,ITEM DESCRIPTION,ITEM UNIT COST,ITEM QUANTITY ORDERED,ITEM UNIT OF MEASURE,ITEM TOTAL COST,UNIQUE ID
D,PO160744,1,CONTRACT FOR APPRAISAL SERVICES                    GLEN OAKS DRIVE STREET IMPORVEMENTS                (PLANK ROAD TO MCCLELLAND DRIVE)                   CITY PARISH PROJECT NO. 12-CS-HC-0047              COUNCIL RESOLUTION NO. 52106.,48571,1,JB,48571,PO1607440001
D,PO151163,29,E-HRJ11                                            HUBBEL PREMISE RJ11 HXJ3B                          VOICE JACK,12.82,14,JB,179.48,PO1511630029
D,PO151163,30,DELETE LINE ITEM,0,1,JB,0,PO1511630030
D,PO151163,31,DELETE LINE ITEM,0,1,JB,0,PO1511630031
D,PO151163,32,DELETE LINE ITEM,0,1,JB,0,PO1511630032
D,PO132045,1,TO PROVIDE HOMELESS ASSISTANCE UNDER THE FY 2012   SUPPORTIVE HOUSEING PROGRAM PER COUNCIL           RESOLUTION #50251 AND WRITTEN CONTRACT. CONTRACT   TERM: 02/01/13-01/31/14 SHP-11-PS-0012             EIN/TAX ID NUMBER: 72-0702820 VENDOR NUMBER: 5116,21530,1,JB,21530,PO1320450001
D,PO132046,1,TO PROVIDE HOMELESS ASSISTANCE UNDER THE FY 2012   SUPPORTIVE HOUSING PROGRAM PER COUNCIL RESOLUTION #50251 AND WRITTEN CONTRACT. CONTRACT TERM:        02/01/13-01/31/14 SHP-12-0005 EIN/TAX ID NUMBER:   72-6000137 VENDOR #5116,45631,1,JB,45631,PO1320460001
D,PO141345,7,BLACK INK PEN ONE COLOR IMPRINT COLOR: NAVY     PRODUCT #PHOENIX SALE,0.39,500,EA,195,PO1413450007
D,PO141345,8,BLACK INK PEN SET-UP FEE,40,1,EA,40,PO1413450008
D,PO141345,9,BLACK INK PEN ESTIMATED SHIPPING,15,1,EA,15,PO1413450009
D,PO141345,10,COLLAPSIBLE COOZIE WITH IMPRINT PRODUCT #1000B   COLOR: NAVY,0.41,300,EA,123,PO1413450010
D,PO141345,11,COLLAPSIBLE COOZIE SET-UP FEE,32,1,EA,32,PO1413450011
D,PO141345,12,COOZIE ESTIMATED SHIPPING,18,1,EA,18,PO1413450012
D,PO141345,13,16 OZ. CUP POLYPROPYLENE ONE COLOR/IMPRINT      PRODUCT #PPS16 COLOR: NAVY,0.41,500,EA,205,PO1413450013
D,PO141345,14,16 OZ. CUP SET-UP FEE,23,1,EA,23,PO1413450014
D,PO141345,15,16 OZ. CUP ESTIMATED SHIPPING,24,1,EA,24,PO1413450015
D,PO101056,1,TONER CARTRIDGE HP CB540A BLACK                   STATE CONTRACT #408436 - LINE #00186,50,20,EA,1000,PO1010560001
D,PO151176,1,APM-N PARKING METER CONFIGURATION                                                                     PURCHASED IN ACCORDANCE WITH SECTION 1:706 (D) OF  THE PURCHASING ORDINANCE,378.22,24,EA,9077.28,PO1511760001
D,PO151176,2,COIN BOX ASSY COMPLETE SMALL                     PURCHASED IN ACCORDANCE WITH SECTION 1:706 (D) OF  THE PURCHASING ORDINANCE,38.26,30,EA,1147.8,PO1511760002
D,PO151176,3,COIN BOX & DOOR ASSY COMPLETE                                                                        PURCHASED IN ACCORDANCE WITH SECTION 1:706 (D) OF  THE PURCHASING ORDINANCE,38.76,30,EA,1162.8,PO1511760003
D,PO141345,16,CERAMIC COFFEE MUG 11 OZ. ONE COLOR IMPRINT     PRODUCT #A7102C COLOR: NAVY,1.62,144,EA,233.28,PO1413450016
D,PO141345,17,COFFEE MUG PROOF & SET-UP FEE,59,1,EA,59,PO1413450017
D,PO141345,18,CERAMIC COFFEE MUG ESTIMATED SHIPPING,135,1,EA,135,PO1413450018
D,PO160192,1,6 MONTH CONTRACT FOR PART-TIME WORKER FOR          JANITORIAL SERVICES FOR EBR PARISH HEALTH UNIT                                                        TERM: FROM 01-01-16 THROUGH 06-30-16,9972,1,JB,9972,PO1601920001
D,PO150035,1,EIN/TAX ID NUMBER: 72-0702820 VENDOR #5116         TO PROVEID HOMELESS ASSISTANCE UNDER THE FY 2013   SUPPORTIVE HOUSING PROGRAM PER COUNCIL RESOLUTION NUMBER 51090 AND WRITTEN CONTRACT.                 CONTRACT TERM: 02/01/14-01/31/15 SHP-11-PS-0013,21530,1,JB,21530,PO1500350001
D,PO150727,1,"SUPPLY AND INSTALL SIX (6) PIECE OF 1/2"" TEMPERED  GLASS - APPROX 250 TOTAL SQUARE FEET               IN THE TERMINAL                                    SBE/NONE",5885,1,JB,5885,PO1507270001
D,PO150622,1,RENTAL -TWO (2) RICOH MPC2503 COLOR COLOR PRINTER/ COPIER/SCANNERS -  BATON ROUGE AIRPORT POLICE      THIS IS A 36 MONTH RENTAL/LEASE. INITIAL PURCHASE  ORDER WILL COINCIDE WITH BUDGET YEAR               MAY 1 2015 THROUGH DECEMBER 31 2015. A NEW,301.96,8,MO,2415.68,PO1506220001
D,PO101056,2,TONER CARTRIDGE HP CB541A CYAN                    STATE CONTRACT #408436 - LINE #00187,70,10,EA,700,PO1010560002
D,PO130677,1,CONTRACT FOR APPRAISAL SERVICES IN CONNECTION WITH THE NWWTP BUFFER ZONE PROJECT BEING PROJECT       NO. 13-TP-MS-0001.                                 CONTRACT TIME: UPON NOTICE FROM DIRECTOR OF PUBLIC WORKS TO PROCEED.,79750,1,JB,79750,PO1306770001
D,PO160194,1,"CONTRACTED ""PROGRAM EVALUATOR"" FOR THE BATON ROUGE CITY COURT-SOBRIETY COURTWITH FUNDS BEING SECURED THROUGH PROGRAM COURT COSTS.                       CONTRACT TERM: OCTOBER 12015 - SEPTEMBER 302016. LHSC PROJ # 2016-10-26",7200,1,EA,7200,PO1601940001
D,PO160042,4,MILLDALE ROAD OVER BEAVER BAYOU                    CITY PARISH PROJECT NO 13-BR-LA-0023               RESOLUTION # 51867                                 RECORDED: 01-12-2016  ORIG: 699  BNDL:12705,442736.35,1,JB,442736.35,PO1600420004
D,PO101056,3,TONER CARTRIDGE HP CB542A YELLOW                  STATE CONTRACT #408436 - LINE #0188,70,8,EA,560,PO1010560003
D,PO160209,1,E-MW8W4DO1                                         DUPLEX OUTLET,10.81,23,EA,248.63,PO1602090001
D,PO150622,2,RENTAL - ONE (1) RICOH MPC4503 COLOR PRINTER/      COPIER/SCANNER - BATON ROUGE AIRPORT POLICE        THIS IS A 36 MONTH RENTAL/LEASE. INITIAL PURCHASE  ORDER WILL COINCIDE WITH BUDGET YEAR               MAY 1 2015 THROUGH DECEMBER 31 2015. A NEW,202.94,8,MO,1623.52,PO1506220002
D,PO160209,2,E-MW8W4DO2                                         DUPLEX OUTLET,10.81,21,EA,227.01,PO1602090002
D,PO160209,3,E-MX8W4PTPC18                                      18 INCH ELECTRICAL JUMPER (PANEL TO PANEL),31.72,30,EA,951.6,PO1602090003
D,PO170209,1,CONDUCT A VISUAL INSPECTION OF ALL AIRFIELD        PAVEMENT.  DOCUMENT AND CATALOGUE OBSERVED FIELD   CONDITIONS.  APPROVED IN THE 2017 BUDGET BY        ORDINANCE 16405.                                   TERM: 01/01/17 TO 12/31/17,45000,1,JB,45000,PO1702090001
D,PO160195,2,SHREDDING SERVICES WILL DESTROY 2 EA 96            GALLON CONTAINERS@ $18 EA.PER WK. @ 4 WKS.         PER MO @ $72.  STATE CONTRACT #4400005875          LINE #1 EFFECTIVE 01/01/2015 - 12/31/2017,72,12,MO,864,PO1601950002
D,PO160706,1,AMENDMENT #3 FOR THE ANNUAL PARISHWIDE SEWER       REPAIR & REPLACEMENT PROJECT BEING PROJECT        #14-PN-UF-0003. THIS SHALL BE THE SECOND RENEWAL   YEAR FOR THIS CONTRACT.  RESOLUTION #: 50844       TERM: APRIL 1 2016 THRU MARCH 31 2017,1272996.8,1,JB,1272996.8,PO1607060001
D,PO170205,1,SHALL PROVIDE INSPECTION SERVICES FOR THE          ENGINEERED ARRESTING MANAGEMENT SYSTEM (EMAS)      APPROVED BY COUNCIL ORDINANCE 16405.               TERM: 01/01/17 TO 12/31/17                         *,30000,1,JB,30000,PO1702050001
D,PO160749,3,"15.5"" X 20"" X 28"" FILE/FILE PEDISTAL FILE          STOCK NUMBER N74ESP",173.89,1,EA,173.89,PO1607490003
D,PO160749,4,"15.5"" X 22"" X 21"" BOX/FILE HANGING PED FILE        STOCK NUMBER N80ESP",138.46,1,EA,138.46,PO1607490004
D,PO160749,5,"71"" X 15"" X 36"" OPEN OVERHEAD HUTCH                STOCK NUMBER N44HESP",186.36,1,EA,186.36,PO1607490005
D,PO141573,1,LEASE OF 58 MULTI-FUNCTION DEVICES (PRINTER-       COPIER) AS PER CONTRACT #A12-0607 FOR THE PERIOD   MAY 1 2014 - APRIL 30 2015. 47 OF THESE DEVICES TO BE FITTED WITH COIN-OP MECHANISMS. YEAR 3 OF A 3   YR CONTRACT.,20637.76,12,MO,247653.12,PO1415730001
D,PO141573,2,COURIER SERVICE TO ALL EBRPL BRANCHES PER CONTRACT A12-0607 DATED APRIL 13 2012. FOR THE PERIOD MAY  1 2014 - APRIL 30 2014. YEAR THREE OF A THREE YEAR CONTRACT. CONTRACT A12-0607 LINE 7,9197.43,12,MO,110369.16,PO1415730002
D,PO141573,3,PRINTER MAINTENANCE AS PER CONTRACT A12-0607 LINE 8 DATED APRIL 13 2012 FOR THE PERIOD MAY 1 2014 - APRIL 30 2015. YEAR THREE OF A THREE YEAR       CONTRACT,1250.2,12,MO,15002.4,PO1415730003
D,PO141573,4,COPY COSTS FOR BLACK & WHITE COPIES BASED ON       720000 COPIES PER MONTH PER CONTRACT A12-0607     FOR THE PERIOD MAY 1 2014 - APRIL 30 2015. YEAR 3  OF A 3 YEAR CONTRACT. $0.0065/COPY CONTRACT A12-  0607 LINE VC8,56160,1,JB,56160,PO1415730004
D,PO141443,1,TO SERVE AS BOOKING AGENT FOR SPECIAL EVENTS       PROGRAMS FOR THE EBRP LIBRARY FEATURING SUCH      PERFORMERS AS AUTHORS SPEAKERS STORYTELLERS     MUSICIANS DANCERS & OTHER PERFORMERS. FOR THE    PERIOD 7/1/2014 - 6/30/2015.,130000,1,EA,130000,PO1414430001
D,PO160644,4,******CHANGE ORDER # 3**PROJECT NO. 15-ASC-CP-0927 UNFORSEEN FOUNDATION OBSTRUCTIONS AND METAL        CLADDING MATERIAL FINISH CHANGE; CONTRACT TIME     EXTENDED BY EIGHT (8) CALENDAR DAYS DUE TO CHANGE  IN SCOPE OF WORK. REQUIRED BECAUSE OF UNFORSEEN,107882,1,EA,107882,PO1606440004
D,PO160042,6,*****CHANGE ORDER #1*********TRACKING #: 164717*** CITY PARISH PROJECT NO 13-BR-LA-0023. TO ENSURE    AND MAINTAIN PROPER DRAINAGE ALONG AND UNDERNEATH  THE ROADWAY APPROACHING THE EAST SIDE OF THE       MILLDALE ROAD BRIDGE (17PARA2107) CURRENTLY BEING,19820,1,JB,19820,PO1600420006
D,PO141061,2,****CHANGE ORDER # 1 & FINAL*****TRACKING # 166206 RESOLUTION #: 52572. PROJECT NO. 13-CS-CI-0060.    ADJUST CONTRACT ITEMS AS-BUILT QUANTITIES ADD     ADDITIONAL ITEMS AND CONTRACT TIME AND CLOSE OUT   PROJECT. EXTENDED CONTRACT FOR 265 (TWO-HUNDRED,70091.31,1,JB,70091.31,PO1410610002
D,PO121300,5,**CHANGE ORDER #2 CONT******TRACKING # 162872***** RESOLUTION # 52009. THIS CHANGE ORDER IS TO ENABLE THE PUMP STATION TO BE FULLY OPERATIONAL BY ADDING  SCOPE FOR PUMP BYPASS PUMPING AND FOR A CHANGE IN MATERIALS TO EXISTING FORCE MAIN PIPE AND MEET,15078.73,1,JB,15078.73,PO1213000005
D,PO170789,1,DELL OPTIPLEX 7040 SFF                             QUOTE 300012883017.1                               STATE CONTRACT#: 4400002525 LINE# 1                *                                                  NOTE: FOR THE FINANCE DEPARTMENT,1037.66,10,EA,10376.6,PO1707890001
D,PO141573,5,COPY COSTS FOR COLOR COPIES BASED ON 27848 COPIES PER MONTH PER CONTRACT A12-0607. FOR THE PERIOD    MAY 1 2014 - APRIL 30 2015. YEAR 3 OF A 3 YEAR     CONTRACT. $0.06/COPY. CONTRACT A12-0607 LINE VC9.,20050.56,1,JB,20050.56,PO1415730005
D,PO141573,6,****************CHANGE ORDER 1******************   LEASE OF 58 MULTI-FUNCTION DEVICES (PRINTER-       COPIER) AS PER CONTRACT #A12-0607 FOR THE PERIOD   MAY 1 2015 - SEPTEMBER 30 2015. 47 OF THESE      DEVICES TO BE FITTED WITH COIN-OP MECHANISMS.,20637.76,5,MO,103188.8,PO1415730006
D,PO141683,1,CONTRACT FOR PROFESSIONAL SERVICES BATON ROUGE     GREENWAY MULTI-USE PATH-PHASE 1                    CITY PARISH PROJECT NO. 11-SW-US-0056              PER COUNCIL RESOLUTION 50989 AND WRITTEN CONTRACT. *,125000,1,JB,125000,PO1416830001
D,PO141573,7,*****************CHANGE ORDER 1******************  PRINTER MAINTENANCE AS PER CONTRACT A12-0607 LINE 8 DATED APRIL 13 2012 FOR THE PERIOD MAY 1     2015 - SPETEMBER 30 2015. YEAR THREE OF A THREE   YR CONTRACT.,1250.2,5,MO,6251,PO1415730007
D,PO170789,2,MICROSOFT OFFICE PRO PLUS 2016                     VLA OFFICE PRO PLUS 2016 CONTRACT CODE 46AAL       AS PER QUOTE 1024468540488.1,331.52,10,EA,3315.2,PO1707890002
D,PO170727,1,PROFESSIONAL SERVICES - ASBESTOS TESTING AT THE    DPW SHOOTING RANGE BERM SITE AT 2500 PROGRESS ROAD THIS AGREEMENT SHALL BE FOR A TERM COMMENCING      FEBRUARY 17 2017 AND TERMINATING DECEMBER 31    2017.,13437.67,1,EA,13437.67,PO1707270001
D,PO150397,1,CONTRACT FOR APPRAISAL SERVICES FOR LOVETT ROAD/   GREENWELL SPRING ROAD SSO PROJECT BEING           PROJECT NO. 10-FM-MS-0049.  PER WRITTEN CONTRACT.  *                                                  SBE:  NONE,15214,1,JB,15214,PO1503970001
D,PO170789,3,"DELL 27"" MONITOR P2717H                            QUOTE 300012883017.1                               STATE CONTRACT#: 4400002525 LINE# 1",258.89,20,EA,5177.8,PO1707890003
D,PO170238,1,PROVIDE MENTAL HEALTH SERVICES TO CHILDREN AND     FAMILIES ENROLLED IN THE EBRP HEAD START/EARLY     HEAD START PROGRAM. PER WRITTEN CONTRACT.          TERM: JANUARY 1 2017 THROUGH DECEMBER 31 2017,1203.17,12,MO,14438.04,PO1702380001
D,PO160209,22,S-SHFDV30 - MID HEIGHT SHELF UNIT - 30W            PAINTMA-15 GRADE A - RO-P0012 MT-MEDIUM TONE,47.47,2,EA,94.94,PO1602090022
D,PO170791,1,ANNUAL MAINTENANCE AND TECHNICAL SUPPORT OF        PAPERFLOW SOFTWARE                                 6/1/2017 THROUGH 05/31/2018                        PER BID SPECIFICATION                              *,1189,17,EA,20213,PO1707910001
D,PO170791,2,ANNUAL MAINTENANCE AND TECHNICAL SUPPORT OF        PAPERFLOW CHOICE OCR SOFTWARE                      6/1/2017 THROUGH 5/31/2018                         PER BID SPECIFICATIONS,789,4,EA,3156,PO1707910002
D,PO170791,3,ANNUAL MAINTENANCE AND TECHNICAL SUPPORT OF        PAPERVISION ENTERPRISE SOFTWARE                    6/1/2017 THROUGH 5/31/2018                         PER BID SPECIFICATIONS,163,68,EA,11084,PO1707910003
D,PO150827,1,BUILDING ELECTRICAL & PLUMBING: TO PROVIDE LABOR MATERIALS AND INSURANCE FOR REPAIR PER             SPECIFICATIONS AND SCOPE OF WORK FOR:              OWNER: JANIE SCOTT                                 ADDRESS: 382 W. GRANT STREET,8799,1,JB,8799,PO1508270001
D,PO150869,1,BUILDING: TO PROVIDE INSURANCE MATERIALS & LABOR  FOR REPAIR PER SPECIFICATIONS & SCOPE OF WORK FOR: OWNER: LINDA WILLIAMS                              ADDRESS: 4121 LINSTROM DRIVE                       PROJECT: CDBG-14-LR-0026,13250,1,JB,13250,PO1508690001
D,PO160161,2,****CHANGE ORDER # 1 & FINAL****TRACKING #: 166204 RESOLUTION #: 52571. PROJECT NO. 15-SW-DD-0002.    ADJUST CONTRACT ITEMS TO AS-BUILT QUANTITIES AND   ADD ADDITIONAL ITEMS AND CLOSE OUT PROJECT.        RESULTING IN AN ADDITIONAL COST OF $16364.94.,16364.94,1,JB,16364.94,PO1601610002
D,PO161295,1,BUILDING TO PROVIDE INSURANCE MATERIALS & LABOR  FOR REPAIR PER SPECIFICATION & SCOPE OF WORK FOR:  OWNER:  IDA JACKSON                                ADDRESS:  2830 VARSITY STREET                      PROJECT #: CDBG-15-LR-0010,17200,1,JB,17200,PO1612950001
D,PO161294,1,BUILDING AND PLUMBING TO PROVIDE LABOR MATERIALS  AND INSURANCE FOR REPAIRS PER SPECIFICATIONS AND   SCOPE OF WORK: OCD PROJECT: CDBG-15-LR-0019        ADDRESS: 953 BARANCO STREET                        OWNER: SHIRLEY WILLIAMS,14200,1,JB,14200,PO1612940001
D,PO151128,1,"TO DESIGN AND PRODUCE IN PDF FORMAT ""THE SOURCE"" A MONTHLY NEWSLETTER FOR THE EBRP LIBRARY SYSTEM;    PRINTING EXCLUSIVELY EXCLUDED. FOR THE PERIOD      AUGUST 1 2015 THROUGH JULY 31 2016. PRICED AT    $60 PER PAGE.  AGENCY CONTACT; MARY STEIN 231-3710",60,288,EA,17280,PO1511280001
D,PO151135,1,SERVER BLADE UCS B200 M4 W/O CPU MEM DRIVE     BAYS HDD MEZZ (UPG) UCSB-B200-M4-U              ST CONT#4400003810LN1 WSCA NASPO NETAPP B27170    PROPERTY TAGS: (3) 127704 127705 127706          ITEMS: 1 3-12 VALUE OF EACH SERVER: $42857.00,1287.85,3,EA,3863.55,PO1511350001
D,PO151135,2,HARDWARE SUPPORT SNTC-8X5XNBDUCS B200 M4          W/O CPU M DR B HDD M (UPG) FOR                 BLADE SERVERS FOR 60 MONTHS CON-SNT-B200M4U        ST CONT#4400003810 LN1 WSCA NASPO NETAPP B27170    *****DELIVERY: PRIMARY SITE,1104,3,EA,3312,PO1511350002
D,PO151135,3,HARDWARE FOR SERVERS- 2.60 GHZ E5-2660 V3/105W     10C/25MG CACHE/DDR4 2133MHZ  UCS-CPU-E52660D       ST CONT#4400003810LN1 WSCA NASPO NETAPP B27170    .                                                  DELIVERY:  PRIMARY SITE ******,1782.35,6,EA,10694.1,PO1511350003
D,PO141817,1,CONTRACT FOR CONSTRUCTION SERVICES FOR THE JOOR    ROAD & GURNEY ROAD INTERSECTION IMPROVEMENTS      BEING PROJECT NO. 10-TL-US-0060. PER COUNCIL       RESOLUTION 51118 AND WRITTEN CONTRACT.  RECORDED:  11/10/14 ORIG. 237 BNDL: 12617.,250000,1,JB,250000,PO1418170001
D,PO160756,1,CLEAR-VU ONE TIME DECOUPLER KEY FOR DVD CASES.     ITEM NUMBER UMD-11V.,169,50,EA,8450,PO1607560001
D,PO161296,1,PROFESSIONAL SERVICES SHALL BE DIVIDED INTO        VARIOUS PHASES COVERING PROGRAMMING DESIGN        STUDIES AND SCHEMATIC DESIGNS; PRELIMINARY DESIGN  DEVELOPMENT PLANS FOR THE PROJECTS CLOSE OUT.     SERVICES TO BE RENDERED WILL INCLUDE PROVIDING,364684,1,EA,364684,PO1612960001
D,PO160757,1,***EMERGENCY PROCUREMENT***HEALTH UNIT BUILDING    CONSULTING SERVICES LOCATED AT 353 N. 12TH ST.    BR LA CITY PARISH PROJECT NO. 16-ASD-CP-1023.      TO PROVIDE A WRITTEN ASBESTOS MANAGEMENT PLAN FOR  THE DEPT OF HEALTH AND HOSPITALS LDEQ COMPLIANCE,12000,1,JB,12000,PO1607570001
D,PO121523,1,"GRADALL XL3100 IV    WITH 60"" BUCKET AND FIXED     THUMB GRAPPLE HYDRAULIC EXCAVATOR                 REPLACES UNIT #2586J. MARK FOR STREET MAINTENANCE  EAST.                                              DELIVERY:  40 DAYS ARO",281972,1,EA,281972,PO1215230001
D,PO151135,11,HARDWARE FOR SERVERS- CPU HEAT SINK FOR UCS        B200 M4/B420 M4 (REAR)    UCSB-HS-EP-M4-R          .                                                  ST CONT#4400003810LN1 WSCA NASPO NETAPP B27170    DELIVERY:  PRIMARY SITE ******,0,3,EA,0,PO1511350011
D,PO160213,1,STEELCASE CACHET CHAIRS; 2 EA WITH CROSSWIND       FABRIC 3601-402(WAVE) 2 EA WITH CROSSWIND FABRIC  3601-501(ARBOR) AND 2EA WITH CROSSWIND FABRIC 3601 803(TWILIGHT) QUOTE #51352 CATALOG #970765         STATE CONTRACT #4400006471 LINE #1,654,6,EA,3924,PO1602130001
D,PO141817,2,CONTRACT FOR CONSTRUCTION SERVCIES FOR THE JOOR    ROAD & GURNEY ROAD INTERSECTION IMPROVEMENTS      BEING PROJECT NO. 10-TL-US-0060.,566355,1,JB,566355,PO1418170002
D,PO151135,9,HARDWARE FOR SERVERS- FLEXSTORAGE BLANKING         PANELS W/O CONTROLLER W/O DRIVE BAYS              UCSB-LSTOR-BK                                      ST CONT#4400003810LN1 WSCA NASPO NETAPP B27170    DELIVERY:  PRIMARY SITE ******,0,6,EA,0,PO1511350009
D,PO151135,12,SOFTWARE FOR BLADES SERVERS  CISCO ONE DATA CTR    COMPUTE OPT OUT OPTION   C1UCS-OPT-OUT             .                                                  ST CONT#4400003810LN1 WSCA NASPO NETAPP B27170    DELIVERY:  PRIMARY SITE ******,0,3,EA,0,PO1511350012
D,PO151135,10,HARDWARE FOR SERVERS- CPU HEAT SINK FOR UCS        B200 M4/B420 M4 (FRONT)   UCSB-HS-EP-M4-F          .                                                  ST CONT#4400003810LN1 WSCA NASPO NETAPP B27170    DELIVERY:  PRIMARY SITE ******,0,3,EA,0,PO1511350010
D,PO121300,4,********CHANGE ORDER # 2****TRACKING # 162872***** RESOLUTION # 52009. THIS CHANGE ORDER IS TO ENABLE THE PUMP STATION TO BE FULLY OPERATIONAL BY ADDING  SCOPE FOR PUMP BYPASS PUMPING AND FOR A CHANGE IN MATERIALS TO EXISTING FORCE MAIN PIPE AND MEET,415000,1,JB,415000,PO1213000004
D,PO130840,1,REMOVE & REPLACE TRANSMISSION IN UNIT #2481        WHICH IS A 2000 GRADALL G3ED 4 X 2.                FURNISH AND INSTALL REMANUFACTURERED TRANSMISSION  *                                                  DELIVERY:  BY 6/30/13,18976.88,1,JB,18976.88,PO1308400001
D,PO170131,3,CHANGE ORDER#1                                     RENTAL OF COPIER- SERIAL# A2X1017003978 FOR THE    PERIOD OF APRIL 10 2017 THRU JUNE 9 2017         *                                                  REASON FOR CHANGE: TO ADD 2 ADDTIONAL MONTHS FOR,663.7,2,MO,1327.4,PO1701310003
D,PO170511,3,*************INTERNAL CHANGE ORDER**************** FINANCE REQUEST TO CORRECT COST CENTERS            CHANGED 06-16-2017,0,1,EA,0,PO1705110003
D,PO170511,4,*************INTERNAL CHANGE ORDER**************** FINANCE REQUEST TO CORRECT COST CENTERS            CHANGED 06-16-2017,0,1,EA,0,PO1705110004
D,PO170511,5,*************INTERNAL CHANGE ORDER**************** FINANCE REQUEST TO CORRECT COST CENTERS            CHANGED 06-16-2017,2370.65,1,EA,2370.65,PO1705110005
D,PO150964,1,UTILITY RELOCATION  AGREEMENT WITH DEMCO IN        CONNECTION WITH THE ZATNIP PHASE 5 PROJECT      BEING #06-WC-IF-014E                               RESOLUTION 51595                                   RECORDED: 08-25-2015 ORIG: 282 BNDL: 12676,34949.71,1,JB,34949.71,PO1509640001
D,PO150959,1,MONITOR 4S OR EQUAL WITH PARKING LOT DOWNLOAD     GPS VARIABLE FLOW CONTROL.                         PROPERTY TAG(S):_#127501 AND #127502               VENDOR: KATHY RUSSELL 800-367-0659                 AGENCY: RANDY VAETH 225-356-3318,6195,2,EA,12390,PO1509590001
D,PO150959,2,TRAINING: ONSITE OPERATION AND SOFTWARE TRAINING,0,1,EA,0,PO1509590002
D,PO141817,3,**CHANGE ORDER # 1***TRACKING # 160871*********    INCREASE BORROW MATERIAL AND STONE BASE COURSE.    ADD ASPHALT MILLING; RESULTING IN AN ADDITIONAL    COST OF $116667.01.  THIS IS A 14% INCREASE.      RECORDED: 02-18-2016 ORIG: 865 BNDL:12712,79295,1,JB,79295,PO1418170003
D,PO150970,1,2015 DODGE ENFORCEMENT PICKUP TRUCK 3/4 TON 4WD  CREW CAB LAW ENFORCEMENT ONLY EXT. COLOR (PX8-   BLACK) INTERIOR COLOR BLACK/DIESEL GRAY CODE     PACKAGE DJ7L91/28A                                 STATE CONTRACT #4400005968/409955 MDM# 970881,25753,1,EA,25753,PO1509700001
D,PO150970,2,LEFT HAND & RIGHT HAND SPOTLIGHT SEPARATELY FUSED  STATE CONTRACT #4400005968/409955 MDM# 970882,475,1,EA,475,PO1509700002
D,PO151135,17,SOFTWARE MANAGEMENT UCS MANAGER V2.2              FOR FABRIC INTERCONNECTS SWITCHES                  N10-MGT012                                         ST CONT#4400003810 LN 1 WSCA NASPO NETAPP B27170   *****DELIVERY: PRIMARY SITE,0,2,EA,0,PO1511350017
D,PO141817,4,**CHANGE ORDER # 1***CONTINUED         ********    INCREASE BORROW MATERIAL AND STONE BASE COURSE.    ADD ASPHALT MILLING; RESULTING IN AN ADDITIONAL    COST OF $116667.01.  THIS IS A 14% INCREASE.      RECORDED: 02-18-2016 ORIG: 865 BNDL:12712,37372.01,1,JB,37372.01,PO1418170004
